overlay	section	section_name	canonical_id	origin	severity	title	source_report
XAR01	S01	Build & Packaging	S01-01	baseline		Active CI does not provision required NDK 29	XDM_ANDROID_BUG_HUNT_S01_BUILD_PACKAGING_AUDIT.md
XAR01	S01	Build & Packaging	S01-02	baseline		Optional native runtimes are effectively mandatory build-time dependencies	XDM_ANDROID_BUG_HUNT_S01_BUILD_PACKAGING_AUDIT.md
XAR01	S01	Build & Packaging	S01-03	baseline		Direct release builds can consume unpinned aria2 bytes	XDM_ANDROID_BUG_HUNT_S01_BUILD_PACKAGING_AUDIT.md
XAR01	S01	Build & Packaging	S01-04	baseline		Stable toolchain verifier checks the wrong CI workflow	XDM_ANDROID_BUG_HUNT_S01_BUILD_PACKAGING_AUDIT.md
XAR01	S01	Build & Packaging	S01-05	baseline		Browser release gate version drift	XDM_ANDROID_BUG_HUNT_S01_BUILD_PACKAGING_AUDIT.md
XAR01	S01	Build & Packaging	S01-06	baseline		Advertised release helper is weaker/incomplete relative to release contract	XDM_ANDROID_BUG_HUNT_S01_BUILD_PACKAGING_AUDIT.md
XAR01	S01	Build & Packaging	S01-07	baseline		FFmpeg 16 KB release evidence is incomplete	XDM_ANDROID_BUG_HUNT_S01_BUILD_PACKAGING_AUDIT.md
XAR01	S01	Build & Packaging	S01-08	baseline		Devtool may satisfy required artifacts with stale cached APK/AAB outputs	XDM_ANDROID_BUG_HUNT_S01_BUILD_PACKAGING_AUDIT.md
XAR01	S01	Build & Packaging	S01-09	baseline		Static release validators can false-green important build conditions	XDM_ANDROID_BUG_HUNT_S01_BUILD_PACKAGING_AUDIT.md
XAR01	S01	Build & Packaging	S01-10	baseline		aria2 distribution notice packaging is not evidenced	XDM_ANDROID_BUG_HUNT_S01_BUILD_PACKAGING_AUDIT.md
XAR01	S01	Build & Packaging	S01-11	baseline		CI path-filter drift surface	XDM_ANDROID_BUG_HUNT_S01_BUILD_PACKAGING_AUDIT.md
XAR01	S01	Build & Packaging	S01-12	baseline		bundletool acquisition is not self-contained	XDM_ANDROID_BUG_HUNT_S01_BUILD_PACKAGING_AUDIT.md
XAR04	S02	Shell & Navigation	S02-01	baseline		Confirmed: cold external Add Download restores to the wrong previous route	XDM_ANDROID_BUG_HUNT_S02_SHELL_NAVIGATION_AUDIT.md
XAR04	S02	Shell & Navigation	S02-02	baseline		Confirmed architecture defect: navigation return state has split ownership	XDM_ANDROID_BUG_HUNT_S02_SHELL_NAVIGATION_AUDIT.md
XAR04	S02	Shell & Navigation	S02-03	baseline		Confirmed evidence defect: expanded adaptive instrumentation test constructs an internally inconsistent shell	XDM_ANDROID_BUG_HUNT_S02_SHELL_NAVIGATION_AUDIT.md
XAR04	S02	Shell & Navigation	S02-04	baseline		Confirmed coverage gap: no behavioral process-death navigation restoration test	XDM_ANDROID_BUG_HUNT_S02_SHELL_NAVIGATION_AUDIT.md
XAR04	S02	Shell & Navigation	S02-05	baseline		Confirmed evidence-quality weakness: many navigation tests assert source text, not behavior	XDM_ANDROID_BUG_HUNT_S02_SHELL_NAVIGATION_AUDIT.md
XAR04	S02	Shell & Navigation	S02-06	baseline		Probable foldable edge case: only the first `FoldingFeature` is considered	XDM_ANDROID_BUG_HUNT_S02_SHELL_NAVIGATION_AUDIT.md
XAR04	S02	Shell & Navigation	S02-07	baseline		Confirmed observability/test semantics issue: fallback shell can be tagged as Medium even when the window class is Expanded	XDM_ANDROID_BUG_HUNT_S02_SHELL_NAVIGATION_AUDIT.md
XAR04	S02	Shell & Navigation	S02-08	baseline		Performance/lifecycle inefficiency: `uiState` is collected twice in the Activity composition	XDM_ANDROID_BUG_HUNT_S02_SHELL_NAVIGATION_AUDIT.md
XAR05	S03	External Intake	S03-01	baseline		Share-sheet URL intake regressed from Add Download to media-only capture	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-02	baseline		Advertised document/binary shares are silently incompatible with `content://`	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-03	baseline		`ACTION_SEND_MULTIPLE` exposes multi-share semantics but consumes one URL	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-04	baseline		Editing an external URL can send the original site's credentials to another host	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-05	baseline		“Inspect media” can act on a different URL than the UI displays	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-06	baseline		Metadata preflight follows redirects outside the transfer security boundary	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-07	baseline		Direct browser capture synthesizes private-network approval	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-08	baseline		Direct browser capture has weaker process-death durability than encrypted capture	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-09	baseline		Intake promises HTTP/FTP that execution intentionally rejects	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-10	baseline		Manual private/LAN downloads have no approval path	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-11	baseline		Private DNS destinations cannot receive approval reliably	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-12	baseline		Magnet intake exists in one model but is unusable through Add review	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-13	baseline		Trusted Tasker enqueue bypasses normal admission policy	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-14	baseline		Only the first 16 pending automation commands recover at startup	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-15	baseline		Malformed generic handoffs disappear without structured rejection	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-16	baseline		Current tests specify mutually exclusive redirect behavior	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-17	baseline		Explicit idempotency key aliases different commands if reused	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-18	baseline		Redacted URL is also used as duplicate identity	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-19	baseline		Filename inference has low-severity parser defects	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR05	S03	External Intake	S03-20	baseline		Review-first product contract and trusted automation disagree	XDM_ANDROID_BUG_HUNT_S03_EXTERNAL_INTAKE_AUDIT.md
XAR02	S04	Domain State & Concurrency	S04-01	baseline		A failed atomic queue claim can be undone by a stale hold write	XDM_ANDROID_BUG_HUNT_S04_DOMAIN_STATE_CONCURRENCY_AUDIT.md
XAR02	S04	Domain State & Concurrency	S04-02	baseline		`togglePause()` writes a UI/presentation composite back as a durable entity	XDM_ANDROID_BUG_HUNT_S04_DOMAIN_STATE_CONCURRENCY_AUDIT.md
XAR02	S04	Domain State & Concurrency	S04-03	baseline		Queue reprioritization can overwrite a concurrent queue claim	XDM_ANDROID_BUG_HUNT_S04_DOMAIN_STATE_CONCURRENCY_AUDIT.md
XAR02	S04	Domain State & Concurrency	S04-04	baseline		Generic `Download` stale-write protection is not optimistic CAS	XDM_ANDROID_BUG_HUNT_S04_DOMAIN_STATE_CONCURRENCY_AUDIT.md
XAR02	S04	Domain State & Concurrency	S04-05	baseline		Native HLS pause/resume commands are fire-and-forget and can reorder	XDM_ANDROID_BUG_HUNT_S04_DOMAIN_STATE_CONCURRENCY_AUDIT.md
XAR02	S04	Domain State & Concurrency	S04-06	baseline		Destination selection is last-completion-wins, not last-intent-wins	XDM_ANDROID_BUG_HUNT_S04_DOMAIN_STATE_CONCURRENCY_AUDIT.md
XAR02	S04	Domain State & Concurrency	S04-07	baseline		Live destination validation set has a lost-update race	XDM_ANDROID_BUG_HUNT_S04_DOMAIN_STATE_CONCURRENCY_AUDIT.md
XAR02	S04	Domain State & Concurrency	S04-08	baseline		Queue and schedule mutations are whole-row last-writer-wins	XDM_ANDROID_BUG_HUNT_S04_DOMAIN_STATE_CONCURRENCY_AUDIT.md
XAR02	S04	Domain State & Concurrency	S04-09	baseline		Diagnostic/self-test running guards are non-atomic	XDM_ANDROID_BUG_HUNT_S04_DOMAIN_STATE_CONCURRENCY_AUDIT.md
XAR02	S04	Domain State & Concurrency	S04-10	baseline		Critical orchestration races lack direct behavioral tests	XDM_ANDROID_BUG_HUNT_S04_DOMAIN_STATE_CONCURRENCY_AUDIT.md
XAR02	S04	Domain State & Concurrency	S04-11	baseline		S04 validation contracts are internally stale/inconsistent	XDM_ANDROID_BUG_HUNT_S04_DOMAIN_STATE_CONCURRENCY_AUDIT.md
XAR02	S04	Domain State & Concurrency	S04-12	baseline		MainViewModel remains a very broad ordering boundary	XDM_ANDROID_BUG_HUNT_S04_DOMAIN_STATE_CONCURRENCY_AUDIT.md
XAR03	S05	Persistence / Migrations	S05-01	baseline		Automation command persistence can regress newer durable state	XDM_ANDROID_BUG_HUNT_S05_PERSISTENCE_MIGRATIONS_AUDIT.md
XAR03	S05	Persistence / Migrations	S05-02	baseline		Sensitive-persistence migration races live automation replay	XDM_ANDROID_BUG_HUNT_S05_PERSISTENCE_MIGRATIONS_AUDIT.md
XAR03	S05	Persistence / Migrations	S05-03	baseline		The latest Room migration is not behaviorally validated	XDM_ANDROID_BUG_HUNT_S05_PERSISTENCE_MIGRATIONS_AUDIT.md
XAR03	S05	Persistence / Migrations	S05-04	baseline		Finalization-journal identity conflicts with its unique DB key	XDM_ANDROID_BUG_HUNT_S05_PERSISTENCE_MIGRATIONS_AUDIT.md
XAR03	S05	Persistence / Migrations	S05-05	baseline		Native-HLS durable state has no stale-writer protection	XDM_ANDROID_BUG_HUNT_S05_PERSISTENCE_MIGRATIONS_AUDIT.md
XAR03	S05	Persistence / Migrations	S05-06	baseline		Queue replacement can persist a nonexistent queue ID	XDM_ANDROID_BUG_HUNT_S05_PERSISTENCE_MIGRATIONS_AUDIT.md
XAR03	S05	Persistence / Migrations	S05-07	baseline		Full 1→24 Room schema validation is impossible with committed schemas	XDM_ANDROID_BUG_HUNT_S05_PERSISTENCE_MIGRATIONS_AUDIT.md
XAR03	S05	Persistence / Migrations	S05-09	baseline		Selected media variant is not a relational invariant	XDM_ANDROID_BUG_HUNT_S05_PERSISTENCE_MIGRATIONS_AUDIT.md
XAR03	S05	Persistence / Migrations	S05-10	baseline		In-memory finalization tests hide Room's unique-index behavior	XDM_ANDROID_BUG_HUNT_S05_PERSISTENCE_MIGRATIONS_AUDIT.md
XAR03	S05	Persistence / Migrations	S05-11	baseline		Safer repository invariants coexist with directly unsafe DAO primitives	XDM_ANDROID_BUG_HUNT_S05_PERSISTENCE_MIGRATIONS_AUDIT.md
XAR03	S05	Persistence / Migrations	S05-12	baseline		Sensitive persistence cleanup is permanently marker-gated	XDM_ANDROID_BUG_HUNT_S05_PERSISTENCE_MIGRATIONS_AUDIT.md
XAR06	S06	Storage / Publication	S06-01	baseline		Direct shared-storage completions cannot be opened/shared/managed through XDM	XDM_ANDROID_BUG_HUNT_S06_STORAGE_PUBLICATION_AUDIT.md
XAR06	S06	Storage / Publication	S06-02	baseline		Rename-on-conflict loses the actual committed filename	XDM_ANDROID_BUG_HUNT_S06_STORAGE_PUBLICATION_AUDIT.md
XAR06	S06	Storage / Publication	S06-03	baseline		MediaStore overwrite can destroy both the old file and the new replacement	XDM_ANDROID_BUG_HUNT_S06_STORAGE_PUBLICATION_AUDIT.md
XAR06	S06	Storage / Publication	S06-04	baseline		Provider-backed in-progress publication cannot be fully recovered after process death	XDM_ANDROID_BUG_HUNT_S06_STORAGE_PUBLICATION_AUDIT.md
XAR06	S06	Storage / Publication	S06-05	baseline		A successful content commit can silently lose its final journal update and then delete staging evidence	XDM_ANDROID_BUG_HUNT_S06_STORAGE_PUBLICATION_AUDIT.md
XAR06	S06	Storage / Publication	S06-06	baseline		Content-destination capacity accounting mixes two filesystems	XDM_ANDROID_BUG_HUNT_S06_STORAGE_PUBLICATION_AUDIT.md
